t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.000000000000000000e+00,-1.767766952966370320e-01,-3.061862178478971241e-01,8.535533905932737309e-01,2.749374391721158755e-17,3.327390758645632794e-17,-1.460105129552110874e-17,2.760415403357492234e-18,1.863101408259922317e-18,1.058953024964119774e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099999990899e-01,-1.767766952966369487e-01,-3.061862178478969576e-01,8.535533905932737309e-01,4.190287917804995396e-17,4.300095095234910842e-17,-9.076358823998906369e-18,4.890721492358009570e+00,1.038338802176841602e+00,-5.192365624999505103e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199999981798e-01,-1.767766952966369487e-01,-3.061862178478970131e-01,8.535533905932737309e-01,9.781443473788123955e-01,2.076677708187554816e-01,-1.038473176923553586e-02,3.824247005207958683e+00,7.343217416624003846e-02,-3.220208503876528017e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000299999972420e-01,1.885218396056815085e-02,-2.646526616074683647e-01,8.514764441355792135e-01,1.742993786662870859e+00,2.223542063863251650e-01,-6.544264647466232487e-01,-3.013588824609521044e+00,-3.038451938353337489e+00,1.167800528699163731e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000399999963596e-01,3.674509587230786467e-01,-2.201818181066614033e-01,7.205911446419905886e-01,1.140275991605081085e+00,-3.853362116688588968e-01,-4.208663473287862500e-01,-6.262569374061068006e-02,7.003097927087434393e-02,1.099877208831854025e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000049999995477e+00,5.955061684468536676e-01,-2.972490642937949956e-01,6.364178709675701873e-01,1.127750852230702039e+00,-3.713300151143743011e-01,-2.008908945636443122e-01,-9.172324871396752011e-01,9.251830557317941572e-01,3.406709538663683201e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000059999994484e+00,8.210563501705016032e-01,-3.715150710299696679e-01,5.962396900459325799e-01,9.443043456304429650e-01,-1.862933947161857229e-01,4.804510472361846474e-01,-4.352228220978476614e+00,-1.308543022905922282e+00,2.084664222289823954e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000069999993713e+00,1.009917228739632744e+00,-4.087737518361406197e-01,6.923299042976797102e-01,7.385865791246939982e-02,-4.480020123827992418e-01,8.973839125407897521e-01,-4.792909158341053910e+00,1.284129150143612230e-01,-1.418284940729830579e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000079999992719e+00,1.024688961060713277e+00,-4.983741587927200678e-01,8.718066957796758443e-01,-8.847232216848285313e-01,-4.223194280957979774e-01,6.137269102119754516e-01,-3.348504569089245209e+00,2.497159866921697891e+00,-2.748037481503111668e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000089999991726e+00,8.477443078765160012e-01,-5.828380486350736023e-01,9.945520839593394724e-01,-1.554424168987720289e+00,7.711257026013801363e-02,6.411938643098073765e-02,6.056330860220090484e-01,4.189675405254681628e+00,-5.315921045345290974e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099999990955e+00,5.368594585347318260e-01,-5.674155338119203362e-01,1.007375961886729288e+00,-1.433297545726988309e+00,9.150476932078246417e-01,-4.219903979184563142e-02,4.098618205555036198e+00,2.473999572299678817e+00,-4.143424147922360884e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000109999990183e+00,2.501999350563600677e-01,-3.844059860198794087e-01,9.989361535063701059e-01,-6.135738636298025961e-01,1.409847632407753792e+00,-5.048588850203275524e-02,4.971059796169669198e+00,-2.117682302101202008e-01,-4.936790141844077939e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000119999988968e+00,1.274851561946615253e-01,-1.024364454398535573e-01,9.888389753011044281e-01,3.806381453147246186e-01,1.367493984248047800e+00,-1.492216962757039744e-01,4.469929773810880747e+00,-2.127020082915529464e+00,-7.039272929411137802e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000129999988197e+00,2.036127890639876092e-01,1.710623650846945509e-01,9.589946345537467831e-01,1.274624144776194568e+00,9.420899463947428609e-01,-2.900071619031990289e-01,3.053670774595786064e+00,-3.463426013792329616e+00,-1.050497894768218421e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000139999987425e+00,4.585376307654666639e-01,3.594803637845417899e-01,9.009931992730357830e-01,1.885358330232056678e+00,2.494047090020199975e-01,-5.001067513618207006e-01,-4.445163374992606165e-01,-3.445907512462697220e+00,2.413958646847847167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000149999986210e+00,8.356093156654595955e-01,4.093613080789927361e-01,8.009718439996045269e-01,1.796455058287041551e+00,-4.397768279495915533e-01,-4.518275760109053407e-01,-3.143380152947526263e+00,-1.831768674925196905e+00,1.227334265777763056e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000159999985438e+00,1.194900345287416732e+00,3.214059380913064645e-01,7.106063242791480494e-01,1.167778996263737712e+00,-8.061305812523159586e-01,-2.063607105820111920e-01,-4.334532180078532804e+00,-2.146551039054319099e-01,1.694376819244825638e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000169999984667e+00,1.428456156217953410e+00,1.601798137795382715e-01,6.693341800991389201e-01,3.008725169027133828e-01,-8.490616041799532443e-01,1.325146702107205809e-01,-4.719770241907899511e+00,2.843189016696179294e-01,1.625709652927340043e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000179999983452e+00,1.488630662607220767e+00,-9.632515547067722200e-03,6.958371154664296787e-01,-6.430815786765647912e-01,-7.921978210028408629e-01,4.576566170532836431e-01,-4.132416835623207163e+00,8.625788780382735998e-01,4.687021249149419533e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000189999982680e+00,1.360014340441092706e+00,-1.680720876696133459e-01,7.873684434536520893e-01,-1.469564987125370648e+00,-6.196820367693981479e-01,5.513970467232929273e-01,-2.349430889003471634e+00,1.667772692035402571e+00,-7.779690788891091557e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199999981909e+00,1.066101328320369968e+00,-2.920085012203127439e-01,8.976478583122806665e-01,-1.939451188420371786e+00,-2.861274816845921776e-01,3.958032231657809819e-01,7.005238953643634359e-01,2.103903653612587021e+00,-1.196137323687516574e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000209999981138e+00,6.782110712417858123e-01,-3.492340004185058300e-01,9.768085069034688761e-01,-1.799346402342260953e+00,1.346532700769598190e-01,1.565757464669055021e-01,3.715754030322780732e+00,1.631404578483389267e+00,-7.275531575849036869e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000219999980366e+00,3.183417727798711905e-01,-3.223033450565812030e-01,1.008123657762607150e+00,-1.056195559120167937e+00,4.609342020876819879e-01,1.106510767439384917e-02,4.889420530440205859e+00,5.779858830677786496e-01,-8.714926535106117811e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000229999978707e+00,1.071026503938830171e-01,-2.301165000297031582e-01,1.010336679408136984e+00,-7.831140413792582466e-02,5.765313844810960875e-01,-1.632334317426542558e-01,4.888739142627266610e+00,1.923611350654703608e-03,-1.048916652809978922e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000239999977936e+00,9.144036878318385908e-02,-1.148102173681705973e-01,9.776899914272719760e-01,8.994364732749146052e-01,5.769161067704630108e-01,-3.730167727938155653e-01,3.822337092569222161e+00,-4.102944824432500637e-01,-8.752851621538816629e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000249999977164e+00,2.713276724325306422e-01,5.730097550825097308e-04,9.030866331383415879e-01,1.663903930012126553e+00,4.948572061788685805e-01,-3.905224769121782846e-01,1.483528733450883985e+00,-1.113285233316771761e+00,5.215571825405439510e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000259999976393e+00,6.041084750739936782e-01,9.954445593942784498e-02,8.249821338506813095e-01,1.960609691537589461e+00,2.722001483826629320e-01,-2.862110351884981641e-01,1.039629644805809550e-01,-2.714535705195614490e+00,1.292967050964997089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000269999975622e+00,9.962304329876068287e-01,1.539844883379616336e-01,7.677399239508715389e-01,1.981402285473335079e+00,-2.707070198018145524e-01,-2.761761206582936598e-02,-3.112247351120486893e+00,-2.777973431470902810e+00,1.444619393291851850e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000279999974850e+00,1.392510909896295113e+00,9.984308167052877159e-02,7.622164012615295636e-01,1.358952784126767233e+00,-8.263017338757269181e-01,2.613062810387336565e-01,-4.928200150061543994e+00,-6.906289034904100621e-01,4.305353949138968073e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.800000289999973191e+00,1.664301480311174863e+00,-6.541727336763325518e-02,8.144776600823389057e-01,3.733127048324613173e-01,-9.644275214800972496e-01,3.474133643268665916e-01,-4.975670582943506837e+00,4.880882727406830046e-01,-6.687553982109172013e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000299999972420e+00,1.738964025010794279e+00,-2.583027873079269399e-01,8.839603364218455717e-01,-6.218214615129414868e-01,-8.668098620510783503e-01,3.340382556938929492e-01,-4.537901135407536479e+00,1.569987363639640865e+00,-1.124682172944370562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
