t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.000000000000000000e+00,-1.767766952966368099e-01,3.061862178478972907e-01,8.535533905932737309e-01,2.918941119882485279e-19,1.489986609259638366e-19,3.092944230029686021e-19,3.679115039341902671e-20,2.225878343374558220e-20,4.433782237813605140e-20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099999932612e-01,-1.767766952966368099e-01,3.061862178478972907e-01,8.535533905932737309e-01,4.815703964496066274e-19,2.647000350007251276e-19,5.368912601770019445e-19,4.917743803699070604e+00,7.907121368949862061e-01,4.365437523720367974e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199999865225e-01,-1.767766952966368099e-01,3.061862178478972907e-01,8.535533905932737309e-01,9.835488099172189358e-01,1.581424352861132698e-01,8.730875483984193441e-02,1.398558794947247552e+00,-1.155227822737995957e+00,-7.909103437114556323e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000299999798115e-01,1.993307652228844956e-02,3.378147064865432703e-01,8.710151424343289817e-01,1.263260582892246964e+00,-7.290314081375633137e-02,-7.087332181154730459e-02,-1.891250542252537636e+00,-3.876910961785083876e-01,3.105560097445392853e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000399999730449e-01,2.725852057333351675e-01,3.232340775947610823e-01,8.568404773632868343e-01,8.850104555292467312e-01,-1.504413639263663671e-01,-8.762116757081441290e-03,3.370749260343103959e+00,3.697400089481349128e-01,-1.576769582792636903e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000049999966389e+00,4.495873056892830677e-01,2.931458033050751699e-01,8.550880539242494693e-01,1.559160341305337205e+00,-7.649335843934178258e-02,-3.241160490832940000e-01,1.898074456497108597e+00,-7.691034866833436068e-01,-5.479791338297494985e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000059999959623e+00,7.614193895419434366e-01,2.778471308522737493e-01,7.902648408664323387e-01,1.938775251585490800e+00,-2.303140634670401699e-01,-4.337118813290315456e-01,-2.965289366963678397e+00,-2.986509972362718202e+00,1.394611356611887842e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000069999952856e+00,1.149174459246781188e+00,2.317843158557266192e-01,7.035224602635101743e-01,1.345717348539881231e+00,-8.276160878046633362e-01,-1.547895960605498167e-01,-4.877088854710187604e+00,-4.330827164349353442e-01,1.013135683879242466e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000079999946090e+00,1.418317942411921662e+00,6.626109001863865477e-02,6.725645395035053653e-01,3.702995288269881891e-01,-9.142326354224746821e-01,4.783755084664870205e-02,-4.979192029792633534e+00,4.295352248141066087e-01,1.521396432126778386e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000089999939323e+00,1.492377851880312134e+00,-1.165854462081764575e-01,6.821320501512102563e-01,-6.255389269234252758e-01,-8.283255861643039619e-01,7.826548101057968776e-02,-4.471355038195881981e+00,2.233510799984742334e+00,1.356977475188994309e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099999932779e+00,1.367270060240241891e+00,-2.822505717242875245e-01,6.977851471359803881e-01,-1.519809979276121714e+00,-3.816234038322625644e-01,1.054050318713361384e-01,-2.296610704533162295e+00,3.241955518998527630e+00,1.774490323695504870e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000109999925790e+00,1.063308049186928006e+00,-3.585752563069715682e-01,7.188661545642972550e-01,-1.979132143148845779e+00,2.667677323869763195e-01,1.089540126961760641e-01,1.225304664879116379e+00,3.432608697678572796e+00,9.064038798798282892e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000119999919246e+00,6.674816007658509465e-01,-3.052217071619007238e-01,7.406569581930717572e-01,-1.734071197919984098e+00,9.532895062487546367e-01,2.902347977361743880e-01,1.120880779177293451e+00,1.498341484221517694e+00,4.873417971476037280e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000129999912257e+00,3.206673438411538068e-01,-1.145637963792611735e-01,7.987039206426528315e-01,-1.509895030875725075e+00,1.252957818076462893e+00,3.877031620391098166e-01,-1.249026601190528357e-01,-1.074326905771237767e-01,-1.522100347107373797e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000139999905713e+00,1.868832256706862149e-02,1.360277797656011534e-01,8.762445569275038038e-01,-1.534875564148561411e+00,1.231471278886711929e+00,3.572611535748630440e-01,-4.612046067836426122e-01,-6.048248164686278461e-01,-5.954793557071937082e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000149999898724e+00,-2.882868056113890298e-01,3.823220478576480064e-01,9.476967912150855433e-01,-1.627116490117332948e+00,1.110506309544742498e+00,3.453515658652402398e-01,-6.086493161116801609e-01,-7.556314373428869580e-01,-1.000010937984590065e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000159999892180e+00,-6.137101199060095436e-01,6.044233208716521810e-01,1.016767107841646922e+00,-1.748846359426158070e+00,9.593800145198557727e-01,1.453493682682195920e-01,-5.966569120544096272e-01,-1.607228867296228270e+00,-1.302216780494981130e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
