t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.000000000000000000e+00,-3.668201106784562543e-02,1.230119326894770354e-01,9.832416523210276704e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099998414105e-01,-3.668201106784562543e-02,1.230119326894770354e-01,9.832416523210275594e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.613930617411338900e-04,9.392769202414161245e-02,-1.678285599944404904e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199996828210e-01,-3.668201106784562543e-02,1.230119326894770354e-01,9.832416523210276704e-01,-1.122786179620683555e-04,1.878553934409034690e-02,-3.356571367714708543e-02,6.597680263581018854e-03,1.641487337411390302e-01,-3.694068512764678291e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000299995242869e-01,-3.670446679256079980e-02,1.267690407461475322e-01,9.765285092499463859e-01,1.207257500729891570e-03,5.161528773377946355e-02,-1.074470876264505687e-01,1.742535574701546686e-02,2.260118619095014825e-01,-5.091232663259265268e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000399993656419e-01,-3.646301528034244510e-02,1.370920988090481019e-01,9.550390906502024269e-01,4.692328824383779073e-03,9.681766237576253098e-02,-2.092717459827878046e-01,3.573032069757608314e-02,2.654649975942999784e-01,-6.133481639774865934e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000049999206997e+00,-3.552454946854314427e-02,1.564556322523618925e-01,9.131847393609606733e-01,1.183839332119653552e-02,1.499106645492303824e-01,-3.319413849116694681e-01,5.953885737457823013e-02,2.880988989475959938e-01,-6.423415014113559307e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000059999048574e+00,-3.315687068592178266e-02,1.864377666612908324e-01,8.467964590592655938e-01,2.374616539149131123e-02,2.075304472196928818e-01,-4.604096916172538134e-01,8.959651722643978411e-02,2.868510265124788461e-01,-6.113968239018691131e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000069998889929e+00,-2.840763737016563373e-02,2.279438581805009467e-01,7.547145161317908579e-01,4.166546973273023424e-02,2.649006553906533834e-01,-5.826890625114989897e-01,1.242123185587725442e-01,2.649701067590453096e-01,-5.054614723447763414e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000079998731284e+00,-2.007454300697149654e-02,2.809239919075962044e-01,6.381766978026928161e-01,6.650793468658822150e-02,3.178946793921214597e-01,-6.837813620349888488e-01,1.625374547303035933e-01,2.203968301448375744e-01,-3.383701981241548640e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000089998572639e+00,-6.772955404585053601e-03,3.445029309649168536e-01,5.014204185579899109e-01,9.901542725799770961e-02,3.619740476250223327e-01,-7.514554050434680832e-01,2.028118454704264939e-01,1.558333220133396035e-01,-1.153260726374864265e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
